DATE(HOURS/DAY/MONTH/YEAR),ENERGY CONSUMPTION
01-01-16 00:00,7
01-01-16 01:00,7
01-01-16 02:00,7
01-01-16 03:00,7
01-01-16 04:00,6
01-01-16 05:00,6.9
01-01-16 06:00,6.9
01-01-16 07:00,6
01-01-16 08:00,7
01-01-16 09:00,6
01-01-16 10:00,6
01-01-16 11:00,6
01-01-16 12:00,6
01-01-16 13:00,7
01-01-16 14:00,7
01-01-16 15:00,8
01-01-16 16:00,6
01-01-16 17:00,6
01-01-16 18:00,8
01-01-16 19:00,10
01-01-16 20:00,8
01-01-16 21:00,8
01-01-16 22:00,6
01-01-16 23:00,6
02-01-16 00:00,6
02-01-16 01:00,6
02-01-16 02:00,6
02-01-16 03:00,7
02-01-16 04:00,7
02-01-16 05:00,7
02-01-16 06:00,6
02-01-16 07:00,8
02-01-16 08:00,19
02-01-16 09:00,23
02-01-16 10:00,23
02-01-16 11:00,29
02-01-16 12:00,28
02-01-16 13:00,28
02-01-16 14:00,10
02-01-16 15:00,10
02-01-16 16:00,9
02-01-16 17:00,9
02-01-16 18:00,10
02-01-16 19:00,10
02-01-16 20:00,10
02-01-16 21:00,11
02-01-16 22:00,11
02-01-16 23:00,10
03-01-16 00:00,9
03-01-16 01:00,8
03-01-16 02:00,8
03-01-16 03:00,8
03-01-16 04:00,9
03-01-16 05:00,10
03-01-16 06:00,8
03-01-16 07:00,8
03-01-16 08:00,8
03-01-16 09:00,6
03-01-16 10:00,6
03-01-16 11:00,6
03-01-16 12:00,8
03-01-16 13:00,8
03-01-16 14:00,8
03-01-16 15:00,8
03-01-16 16:00,8
03-01-16 17:00,8
03-01-16 18:00,8
03-01-16 19:00,9
03-01-16 20:00,8
03-01-16 21:00,8
03-01-16 22:00,7
03-01-16 23:00,6
04-01-16 00:00,7
04-01-16 01:00,7
04-01-16 02:00,7
04-01-16 03:00,7
04-01-16 04:00,7
04-01-16 05:00,7
04-01-16 06:00,8
04-01-16 07:00,40
04-01-16 08:00,55
04-01-16 09:00,70
04-01-16 10:00,90
04-01-16 11:00,102
04-01-16 12:00,106
04-01-16 13:00,107
04-01-16 14:00,109
04-01-16 15:00,111
04-01-16 16:00,111
04-01-16 17:00,106
04-01-16 18:00,102
04-01-16 19:00,97
04-01-16 20:00,98
04-01-16 21:00,98
04-01-16 22:00,95
04-01-16 23:00,94
05-01-16 00:00,93
05-01-16 01:00,90
05-01-16 02:00,90
05-01-16 03:00,93
05-01-16 04:00,95
05-01-16 05:00,92
05-01-16 06:00,92
05-01-16 07:00,90
05-01-16 08:00,102
05-01-16 09:00,102
05-01-16 10:00,104
05-01-16 11:00,108
05-01-16 12:00,108
05-01-16 13:00,99
05-01-16 14:00,95
05-01-16 15:00,97
05-01-16 16:00,92
05-01-16 17:00,90
05-01-16 18:00,92
05-01-16 19:00,92
05-01-16 20:00,90
05-01-16 21:00,92
05-01-16 22:00,90
05-01-16 23:00,86
06-01-16 00:00,90
06-01-16 01:00,89
06-01-16 02:00,83
06-01-16 03:00,85
06-01-16 04:00,87
06-01-16 05:00,87
06-01-16 06:00,86
06-01-16 07:00,84
06-01-16 08:00,94
06-01-16 09:00,101
06-01-16 10:00,92
06-01-16 11:00,97
06-01-16 12:00,104
06-01-16 13:00,105
06-01-16 14:00,108
06-01-16 15:00,101
06-01-16 16:00,100
06-01-16 17:00,96
