DATE(HOURS/DAY/MONTH/YEAR),ENERGY CONSUMPTION,TEMPERATURE(C),PRESSURE,HUMIDITY,WEATHER CODE,WIND DIRECTION(DEGREE),WIND SPEED(KMPH),WORKDAY,PUBLIC HOLIDAY
01-01-16 00:00,7,18,1014,48,113,44,4,1,1
01-01-16 01:00,7,18,1014,44,113,37,5,1,1
01-01-16 02:00,7,18,1014,40,113,31,6,1,1
01-01-16 03:00,7,17,1014,36,113,24,6,1,1
01-01-16 04:00,6,17,1014,35,113,24,6,1,1
01-01-16 05:00,6.9,17,1014,33,113,24,7,1,1
01-01-16 06:00,6.9,16,1014,32,113,24,7,1,1
01-01-16 07:00,6,20,1015,28,113,33,7,1,1
01-01-16 08:00,7,23,1015,24,113,42,7,1,1
01-01-16 09:00,6,26,1015,20,113,52,7,1,1
01-01-16 10:00,6,29,1015,18,113,68,6,1,1
01-01-16 11:00,6,32,1014,16,113,85,6,1,1
01-01-16 12:00,6,35,1013,14,113,102,5,1,1
01-01-16 13:00,7,36,1012,14,113,94,4,1,1
01-01-16 14:00,7,36,1011,14,113,87,4,1,1
01-01-16 15:00,8,36,1010,13,113,80,3,1,1
01-01-16 16:00,6,33,1010,17,113,171,5,1,1
01-01-16 17:00,6,29,1011,20,113,263,6,1,1
01-01-16 18:00,8,26,1011,23,113,355,7,1,1
01-01-16 19:00,10,25,1012,25,113,251,7,1,1
01-01-16 20:00,8,24,1012,27,113,146,7,1,1
01-01-16 21:00,8,23,1013,29,113,42,7,1,1
01-01-16 22:00,6,22,1013,30,113,47,6,1,1
01-01-16 23:00,6,21,1013,32,113,53,6,1,1
02-01-16 00:00,6,20,1013,33,113,58,6,1,0
02-01-16 01:00,6,20,1013,31,113,50,7,1,0
02-01-16 02:00,6,20,1013,30,113,42,8,1,0
02-01-16 03:00,7,20,1012,28,113,34,9,1,0
02-01-16 04:00,7,20,1013,28,113,36,9,1,0
02-01-16 05:00,7,19,1013,29,113,38,9,1,0
02-01-16 06:00,6,19,1014,29,113,41,9,1,0
02-01-16 07:00,8,22,1014,26,113,49,9,1,0
02-01-16 08:00,19,25,1014,24,113,56,9,1,0
02-01-16 09:00,23,27,1015,21,113,64,9,1,0
02-01-16 10:00,23,30,1014,19,113,71,9,1,0
02-01-16 11:00,29,32,1014,16,113,79,8,1,0
02-01-16 12:00,28,35,1013,14,113,86,8,1,0
02-01-16 13:00,28,35,1012,14,113,77,7,1,0
02-01-16 14:00,10,36,1011,14,113,68,6,1,0
02-01-16 15:00,10,36,1010,13,113,59,5,1,0
02-01-16 16:00,9,33,1010,16,113,41,7,1,0
02-01-16 17:00,9,30,1010,19,113,23,8,1,0
02-01-16 18:00,10,27,1011,22,113,5,10,1,0
02-01-16 19:00,10,26,1011,24,113,16,9,1,0
02-01-16 20:00,10,25,1012,26,113,26,8,1,0
02-01-16 21:00,11,23,1012,28,113,36,7,1,0
02-01-16 22:00,11,22,1012,29,113,38,7,1,0
02-01-16 23:00,10,22,1013,29,113,39,7,1,0
03-01-16 00:00,9,21,1013,29,113,41,7,0,0
03-01-16 01:00,8,21,1013,29,113,35,7,0,0
03-01-16 02:00,8,21,1012,28,113,30,8,0,0
03-01-16 03:00,8,21,1012,28,113,24,8,0,0
03-01-16 04:00,9,20,1013,28,113,27,8,0,0
03-01-16 05:00,10,20,1013,29,113,29,8,0,0
03-01-16 06:00,8,19,1014,29,113,31,8,0,0
03-01-16 07:00,8,22,1014,27,113,37,9,0,0
03-01-16 08:00,8,25,1014,24,113,42,9,0,0
03-01-16 09:00,6,28,1014,21,113,48,10,0,0
03-01-16 10:00,6,30,1013,19,113,54,10,0,0
03-01-16 11:00,6,33,1013,17,113,61,9,0,0
03-01-16 12:00,8,35,1012,14,113,67,9,0,0
03-01-16 13:00,8,35,1011,14,113,59,8,0,0
03-01-16 14:00,8,36,1010,15,113,50,7,0,0
03-01-16 15:00,8,36,1009,15,113,41,6,0,0
03-01-16 16:00,8,33,1009,18,113,29,9,0,0
03-01-16 17:00,8,31,1010,21,113,17,11,0,0
03-01-16 18:00,8,28,1010,24,113,5,13,0,0
03-01-16 19:00,9,27,1011,25,113,10,12,0,0
03-01-16 20:00,8,26,1012,26,113,15,11,0,0
03-01-16 21:00,8,25,1012,26,113,20,10,0,0
03-01-16 22:00,7,24,1012,36,113,44,8,0,0
03-01-16 23:00,6,23,1012,45,113,68,6,0,0
04-01-16 00:00,7,22,1012,55,113,92,4,1,0
04-01-16 01:00,7,22,1012,48,113,72,5,1,0
04-01-16 02:00,7,21,1012,42,113,51,6,1,0
04-01-16 03:00,7,21,1013,35,113,30,7,1,0
04-01-16 04:00,7,21,1012,41,113,70,7,1,0
04-01-16 05:00,7,20,1012,47,113,109,7,1,0
04-01-16 06:00,8,20,1012,53,113,149,6,1,0
04-01-16 07:00,40,23,1012,45,113,148,6,1,0
04-01-16 08:00,55,26,1013,37,176,148,6,1,0
04-01-16 09:00,70,29,1013,29,176,147,6,1,0
04-01-16 10:00,90,31,1013,25,176,133,6,1,0
04-01-16 11:00,102,34,1012,21,113,120,5,1,0
04-01-16 12:00,106,36,1011,17,113,106,5,1,0
04-01-16 13:00,107,36,1010,17,113,114,5,1,0
04-01-16 14:00,109,36,1009,17,176,123,6,1,0
04-01-16 15:00,111,36,1008,17,176,131,6,1,0
04-01-16 16:00,111,33,1009,22,176,144,6,1,0
04-01-16 17:00,106,30,1009,27,113,157,5,1,0
04-01-16 18:00,102,27,1009,33,113,170,5,1,0
04-01-16 19:00,97,26,1010,38,113,157,6,1,0
04-01-16 20:00,98,25,1011,44,113,144,6,1,0
04-01-16 21:00,98,24,1011,50,113,130,6,1,0
04-01-16 22:00,95,24,1011,49,113,125,6,1,0
